date,pollution,weekday,hour,dew,temp,press,wnd_dir,wnd_spd,snow,rain
2010-01-02 00:00:00,129.0,5,0,-16,-4.0,1020.0,SE,1.79,0,0
2010-01-02 01:00:00,148.0,5,1,-15,-4.0,1020.0,SE,2.68,0,0
2010-01-02 02:00:00,159.0,5,2,-11,-5.0,1021.0,SE,3.57,0,0
2010-01-02 03:00:00,181.0,5,3,-7,-5.0,1022.0,SE,5.36,1,0
2010-01-02 04:00:00,138.0,5,4,-7,-5.0,1022.0,SE,6.25,2,0
2010-01-02 05:00:00,109.0,5,5,-7,-6.0,1022.0,SE,7.14,3,0
2010-01-02 06:00:00,105.0,5,6,-7,-6.0,1023.0,SE,8.93,4,0
2010-01-02 07:00:00,124.0,5,7,-7,-5.0,1024.0,SE,10.72,0,0
2010-01-02 08:00:00,120.0,5,8,-8,-6.0,1024.0,SE,12.51,0,0
2010-01-02 09:00:00,132.0,5,9,-7,-5.0,1025.0,SE,14.3,0,0
2010-01-02 10:00:00,140.0,5,10,-7,-5.0,1026.0,SE,17.43,1,0
2010-01-02 11:00:00,152.0,5,11,-8,-5.0,1026.0,SE,20.56,0,0
2010-01-02 12:00:00,148.0,5,12,-8,-5.0,1026.0,SE,23.69,0,0
2010-01-02 13:00:00,164.0,5,13,-8,-5.0,1025.0,SE,27.71,0,0
2010-01-02 14:00:00,158.0,5,14,-9,-5.0,1025.0,SE,31.73,0,0
2010-01-02 15:00:00,154.0,5,15,-9,-5.0,1025.0,SE,35.75,0,0
2010-01-02 16:00:00,159.0,5,16,-9,-5.0,1026.0,SE,37.54,0,0
2010-01-02 17:00:00,164.0,5,17,-8,-5.0,1027.0,SE,39.33,0,0
2010-01-02 18:00:00,170.0,5,18,-8,-5.0,1027.0,SE,42.46,0,0
2010-01-02 19:00:00,149.0,5,19,-8,-5.0,1028.0,SE,44.25,0,0
2010-01-02 20:00:00,154.0,5,20,-7,-5.0,1028.0,SE,46.04,0,0
2010-01-02 21:00:00,164.0,5,21,-7,-5.0,1027.0,SE,49.17,1,0
2010-01-02 22:00:00,156.0,5,22,-8,-6.0,1028.0,SE,52.3,2,0
2010-01-02 23:00:00,126.0,5,23,-8,-6.0,1027.0,SE,55.43,3,0
2010-01-03 00:00:00,90.0,6,0,-7,-6.0,1027.0,SE,58.56,4,0
2010-01-03 01:00:00,63.0,6,1,-8,-6.0,1026.0,SE,61.69,5,0
2010-01-03 02:00:00,65.0,6,2,-8,-7.0,1026.0,SE,65.71,6,0
2010-01-03 03:00:00,55.0,6,3,-8,-7.0,1025.0,SE,68.84,7,0
2010-01-03 04:00:00,65.0,6,4,-8,-7.0,1024.0,SE,72.86,8,0
2010-01-03 05:00:00,83.0,6,5,-9,-8.0,1024.0,SE,76.88,9,0
2010-01-03 06:00:00,91.0,6,6,-10,-8.0,1024.0,SE,80.9,10,0
2010-01-03 07:00:00,86.0,6,7,-10,-9.0,1024.0,SE,84.92,11,0
2010-01-03 08:00:00,82.0,6,8,-10,-9.0,1024.0,SE,89.84,12,0
2010-01-03 09:00:00,86.0,6,9,-11,-9.0,1023.0,SE,93.86,13,0
2010-01-03 10:00:00,78.0,6,10,-11,-9.0,1023.0,SE,97.88,15,0
2010-01-03 11:00:00,98.0,6,11,-11,-9.0,1022.0,SE,102.8,16,0
2010-01-03 12:00:00,107.0,6,12,-11,-9.0,1021.0,SE,105.93,17,0
2010-01-03 13:00:00,90.0,6,13,-11,-9.0,1020.0,SE,111.74,19,0
2010-01-03 14:00:00,96.0,6,14,-11,-9.0,1020.0,SE,116.66,20,0
2010-01-03 15:00:00,95.0,6,15,-11,-9.0,1020.0,SE,121.58,21,0
2010-01-03 16:00:00,86.0,6,16,-11,-9.0,1020.0,SE,124.71,22,0
2010-01-03 17:00:00,70.0,6,17,-11,-9.0,1020.0,SE,127.84,23,0
2010-01-03 18:00:00,61.0,6,18,-11,-9.0,1021.0,cv,0.89,24,0
2010-01-03 19:00:00,53.0,6,19,-11,-9.0,1022.0,cv,1.78,25,0
2010-01-03 20:00:00,71.0,6,20,-10,-9.0,1022.0,NW,4.02,26,0
2010-01-03 21:00:00,72.0,6,21,-11,-10.0,1023.0,NW,7.15,27,0
2010-01-03 22:00:00,76.0,6,22,-11,-9.0,1023.0,NW,11.17,0,0
2010-01-03 23:00:00,73.0,6,23,-12,-11.0,1023.0,NW,14.3,0,0
2010-01-04 00:00:00,79.0,0,0,-14,-12.0,1023.0,NW,16.09,0,0
